id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.2925415954928219,0.4289839299692506,0.0025309808740837936,0.07744015065908544,0.10857009223528274,0.012654108089611739,0.022913629359853485,0.03386414821344724,0.012457924056484729,0.00804344105007828
A0A0A7EQR3,2,474,S,test,2,0.0010166498161339613,0.017950293354478626,0.9242779002448579,0.0005112036259551001,0.017603103772159685,0.0028736277449239356,0.0025359676873900837,0.007252575350900853,0.024249298760044342,0.0017293796431554647
A0AQW4,0,356,U,test,0,0.980047921168769,0.009096721379309884,9.718406301218202e-05,0.00042879618712159123,0.0021271627064686598,0.0003784113197872937,0.007056912765120369,0.0004221483198127347,0.00026417367225399545,8.056841834427421e-05
A0AVI4,5,362,M,test,0,0.3124123785743093,0.07641056845373302,0.0046338433709594935,0.1481507549547549,0.03702196801226028,0.25398948020117024,0.006235517638754937,0.09481629064802376,0.04261203108748878,0.023717167058545277
A0AVK6,0,867,U,test,0,0.8863531272410851,0.10585978533236676,0.0001164393751092136,0.0025486224104728948,0.002528788499438655,0.0007132776018246756,0.00013194308731930094,0.0011852193751403855,0.0001164393751092136,0.0004463577021338541
A0PJY2,0,475,U,test,0,0.9567105571571918,0.03099461387465508,0.0004185854866366722,0.009415969401875777,0.0016620174066944381,0.0003470195809410194,2.162481043819693e-06,9.052546350478936e-05,6.064828036112417e-06,0.000352484319420521
A1XGB4,4,166,M,test,4,0.00032835824498837356,0.00043500399668249104,0.012261535463553679,0.0005498965809551753,0.7623074913447511,0.04103703565743782,0.001494774064334706,0.013585541865476452,0.1648605522698168,0.0031398105120034785
A1Z9P3,1,1576,S,test,1,0.3553474703575156,0.5950950149806579,0.00013092194633973432,0.007850648526162624,0.017113934528456495,0.004543606478619053,0.00010853810390538843,0.010899546126978066,0.007912221053113606,0.0009980978982515383
A2A8L1,0,1946,U,test,0,0.9204345993512634,0.05838350612106734,0.000604545060698925,0.00397304727145154,0.007510126145118977,0.003881012111463245,0.0015680707381166786,0.0022286777510413516,0.0008659709177445143,0.0005504445320340525
A2A935,0,1275,U,test,0,0.7115173171000854,0.23099584774301718,0.0016058445708144384,0.002373284104282651,0.03683550877006651,0.009386521396355053,0.00029705134839800104,0.0036188261427927745,0.0030001124305776305,0.00036968639361040635
A2A9C3,9,3431,U,test,0,0.6234077109327074,0.2619132355080693,0.0033751869932334634,0.048048577386759425,0.010235127819114218,0.031403503778741446,0.00012884124370819,0.004910868509163504,0.006016921615493665,0.010560026213009397
A2AMM0,1,362,S,test,1,0.3520273578540446,0.41156166935652144,0.019860023702005937,0.02651661084912465,0.11608629714262077,0.028226785460347726,0.0018044780071515521,0.03512880218376686,0.006397430341681804,0.0023905451027346255
A2APC3,1,461,S,test,0,0.5567250221739091,0.1411751051927973,0.010357349877571689,0.10898518826816093,0.0691400241584909,0.040015182614481726,0.0028315418475226705,0.04464015980223259,0.020922423781470703,0.005208002283362415
A2AR95,4,345,M,test,4,0.05751075428218048,0.027405976451426912,0.08118241044015861,0.005189817247724103,0.6797320048843694,0.06074346797683215,1.6009845683239198e-05,0.06836244264934829,0.019132455254007166,0.0007246609682697002
A2AVQ5,3,414,U,test,3,0.045424772904960636,0.31778343543645293,0.00028528833940226787,0.6221897412489442,0.004640432864586671,0.004393473599339869,0.00030368786776784117,0.0029960883799677093,0.0006843711390236689,0.0012987082195541732
A2RV66,5,269,M,test,4,0.04457529819396133,0.022457688117071967,0.017018300256731716,0.01098784011795636,0.826418851371456,0.01951157568976913,0.00010688270857058075,0.0496303087226947,0.00882897748964484,0.00046427733214338726
A2XFC1,0,442,U,test,0,0.48409842724486596,0.1986735853911503,0.0010183927845646985,0.11144578232077866,0.013625945600681495,0.018335713929569033,0.0847627858153867,0.02817790528053185,0.0241018395946405,0.03575962203783081
A4D1B5,7,854,U,test,0,0.5537046587397211,0.2762535113280489,0.0036729912791452655,0.043709649035394586,0.01620599754424926,0.05429139534539498,0.0008861504287116334,0.030873947577800542,0.01583058701610197,0.004571111705431874
A4Q9F4,1,727,S,test,0,0.6971931528943821,0.18045836871959461,0.007745117028426647,0.03872314880225308,0.04286261691850497,0.007867084896692944,0.008244632827761547,0.007745117028426647,0.004081389442920018,0.005079371441037474
A5D6W6,5,292,M,test,5,0.0003235147545582386,0.0003841832625248934,0.0023169215514263265,0.018224001463295933,0.04171515005530122,0.8644681229467386,0.0002640450334031255,0.040431713004172774,0.016496198733866433,0.015376149194712453
A6NNB3,4,132,M,test,4,0.0041272836604378214,0.006804740351600747,0.006293356295958498,0.03593393079296844,0.8307317910858397,0.08824521968363419,0.00024980665177633737,0.014689760772059916,0.010959229338883754,0.0019648813668405943
