id,label,PC1,PC2
B0BMY1,8,0.2368671110304096,0.36883428174184435
O14228,1,-0.31296670389644343,1.201990510998799
P00296,6,1.8511527243172703,-0.5873370749655562
P05166,3,-0.5366718850580162,-0.17640411786198326
P15693,4,0.42926058012289864,0.3239710604758628
P32316,1,0.015083405734915737,1.2440776496131174
P38175,3,0.8480210601564684,0.25408002585453215
P53223,5,-0.4253340514004349,1.110223965242924
P97468,4,-0.22911419581520462,0.3310994034243129
Q04712,0,-0.9259339355808647,0.012396218209617511
Q12032,3,1.463750749536274,0.1932393979922748
Q12346,5,-0.5580068016635574,0.7106324772922044
Q14833,4,-0.48792227689523465,0.03849886970181202
Q15648,0,-0.9598168030871385,0.11007819713138141
Q3KRE0,3,-0.8751472598817269,-0.40183182933339534
Q5A960,0,-0.5551473332714458,-0.4559883439680014
Q5K4E3,2,-1.8788059586493158,-0.718990387236441
Q6PAL8,7,-0.5169799128251796,0.9501937599154284
Q7L266,1,0.9439315135320511,0.925078386472023
Q84N48,6,-1.3183003818441452,-0.6587112155492668
Q8C0V1,0,0.7247332953434041,0.2085283642430183
Q8GW20,6,-0.9250862771623495,-0.08844436064271895
Q8H191,9,0.3887728187353886,0.8081641435406708
Q8VYN6,6,-0.948311860303457,-0.2977287165937228
Q8W2F3,0,-1.3249326860372015,-0.34300280421417645
Q941F1,6,-0.9633278946255268,-0.40570892385727736
Q96E29,3,-0.6386957372611168,0.7179920740640868
Q96MT8,1,-0.2949500481944707,0.21235437309285993
Q99JX3,7,0.17273133450155756,-1.0779777488674849
Q99MG7,2,1.3120658172457664,0.4602501650069536
Q9CQ45,2,-0.3270895487745097,-0.5250640724243714
Q9FKW0,0,-1.137889031339049,-0.3565631349901803
Q9FQ24,1,-0.748742467033778,0.21144408017468366
Q9LQ02,0,-0.9330054921234597,0.7256296023501508
Q9M4A1,0,-0.6472424122260858,1.0372852983730387
Q9U7C9,0,-0.569108170755289,-0.9435184200657385
Q9VSK8,0,-0.8011860508008591,-0.814440417929196
Q9WVL3,4,0.5328393259540468,0.017498134029858815
Q9Y2X7,1,0.5957815331971241,0.7441267626031982
Q9Z258,4,-0.8466758692952406,-0.8668911060893982
