id,label,PC1,PC2
A0A068FIK2,1,-0.40345999107869246,0.034814006243706515
A0A0A7EQR3,2,1.0753199896496102,0.24746382041434042
A0AQW4,0,-1.4766728314253392,-0.676804407210907
A0AVI4,5,-0.5389730124085601,0.5098183001199392
A0AVK6,0,-1.1583895315588928,-0.8097219804858503
A0PJY2,0,-0.4282607021126968,-1.5460543175129695
A1XGB4,4,0.6579198179561634,0.4225602633100932
A1Z9P3,1,-0.8466825141068438,-0.41369677690148443
A2A8L1,0,-1.2518192787484574,-0.25047134626036655
A2A935,0,-1.1516256332638284,-0.6294574384330428
A2A9C3,9,-1.1908198148235223,-0.27962764193649375
A2AMM0,1,-1.356344654177786,-0.4506331499059321
A2APC3,1,0.7792906255754428,0.33985373790493123
A2AR95,4,-0.5548669629485559,-1.109534927322843
A2AVQ5,3,-1.1805183559889334,0.4465982724674243
A2RV66,5,-0.9748076634696488,-0.5219808884603594
A2XFC1,0,0.8544878198870195,0.39260891577245666
A4D1B5,7,-0.9296043227455864,0.7242115666635867
A4Q9F4,1,-1.3115195976011107,-0.029506024691784052
A5D6W6,5,0.49552489840394637,-0.31255298099624723
A6NNB3,4,0.38280004133416956,-0.7571000650430737
A6XGK3,2,1.3115434594433029,0.7830042444334208
A6YSL1,6,-0.7347664388833187,0.5253926652351152
A7MAS3,1,-1.2932812500790845,1.2708591327668382
A7WNV3,2,-0.7836578420654046,-0.20444060936237346
A7WNV4,2,-0.6450383048597161,-0.26759692166318527
A7WNV7,2,-0.9393185746830018,-0.3923298112775438
A8B5P0,2,-1.5684330365896892,0.41533341697227394
A8E0R9,1,-0.2343163170362099,-0.6710981101615208
A8IVX2,1,0.08430484547780097,0.6091758182895318
A8MQ27,1,0.8635071534417794,-0.7778613194319777
A8MUP2,3,1.6652673345038684,-1.0734596537836971
B0BMY1,8,1.160406221370859,-0.15411640538316598
B0FHH8,2,0.38310159773726293,0.5606088157319039
B2D6M2,0,-0.24947191675129318,1.0618063746267252
B2RNN3,2,1.0054311770537538,-1.0081639008599195
B2RXS4,4,0.23453474085718481,0.6506199219288779
